max_depth,estimators,learning_rate,accuracy,recall,cut_off,Performance
3,200,0.01,0.9862707288854609,0.8027210884353742,0.05,0.8850798593014523
3,200,0.01,0.9946779791747011,0.7482993197278912,0.1,0.8540752144429843
3,200,0.01,0.9951021982259931,0.6394557823129252,0.15000000000000002,0.7785882938678214
3,200,0.01,0.9957192441187813,0.4897959183673469,0.2,0.656606184743339
3,200,0.01,0.9962205939066718,0.4489795918367347,0.25,0.6189906700039429
3,200,0.01,0.9963362900115696,0.42857142857142855,0.3,0.5993388365843756
3,200,0.01,0.9959506363285769,0.3469387755102041,0.35000000000000003,0.5146125826747195
3,200,0.01,0.9959120709602777,0.3333333333333333,0.4,0.4994874373803214
3,200,0.01,0.9959506363285769,0.3129251700680272,0.45,0.47622245094511895
3,200,0.01,0.9959120709602777,0.2925170068027211,0.5,0.4522114923730198
3,200,0.01,0.9959120709602777,0.2925170068027211,0.55,0.4522114923730198
4,200,0.01,0.9908214423447744,0.7755102040816326,0.05,0.8700428829612414
4,200,0.01,0.994523717701504,0.7482993197278912,0.1,0.8540183431439609
4,200,0.01,0.9947551099112997,0.7278911564625851,0.15000000000000002,0.8406525024717387
4,200,0.01,0.995680678750482,0.6938775510204082,0.2,0.8178238060056776
4,200,0.01,0.9960663324334748,0.6258503401360545,0.25,0.7687058940752564
4,200,0.01,0.9961434631700733,0.43537414965986393,0.3,0.6059235448169441
4,200,0.01,0.996104897801774,0.40816326530612246,0.35000000000000003,0.5790538279731043
4,200,0.01,0.9961434631700733,0.38095238095238093,0.4,0.5511355301585608
4,200,0.01,0.9959120709602777,0.3197278911564626,0.45,0.4840547192152568
4,200,0.01,0.9959120709602777,0.29931972789115646,0.5,0.4602977325721767
4,200,0.01,0.9959120709602777,0.2857142857142857,0.55,0.44403941056106744
5,200,0.01,0.9941380640185113,0.7619047619047619,0.05,0.8626652081429129
5,200,0.01,0.9945622830698033,0.7482993197278912,0.1,0.8540325619125364
5,200,0.01,0.9951021982259931,0.7482993197278912,0.15000000000000002,0.8542315586212959
5,200,0.01,0.9958349402236791,0.7278911564625851,0.2,0.841037851290587
5,200,0.01,0.9966062475896644,0.6938775510204082,0.25,0.8181358531536708
5,200,0.01,0.9967990744311608,0.6394557823129252,0.3,0.7791071535366204
5,200,0.01,0.996529116853066,0.5850340136054422,0.35000000000000003,0.7372496458465346
5,200,0.01,0.996683378326263,0.5578231292517006,0.4,0.7153048742618129
5,200,0.01,0.9966062475896644,0.4965986394557823,0.45,0.662887338395239
5,200,0.01,0.9964519861164675,0.4217687074829932,0.5,0.5926754110272472
5,200,0.01,0.9964519861164675,0.4013605442176871,0.55,0.5722319735378156
6,200,0.01,0.9945622830698033,0.7551020408163265,0.05,0.8584458166203417
6,200,0.01,0.9952950250674893,0.7210884353741497,0.1,0.8362883340496909
6,200,0.01,0.995680678750482,0.7006802721088435,0.15000000000000002,0.8225299085869611
