number_of_neurons,activation,activation2,cut_off,accuracy,recall,Performance
4,relu,softmax,0.05,0.9385174946999392,0.7105513307984791,0.8087774682601759
4,relu,softmax,0.1,0.9723119063301983,0.6829847908745247,0.8023627971120272
4,relu,softmax,0.15000000000000002,0.9959669146627218,0.0038022813688212928,0.007575641375262003
4,relu,softmax,0.2,0.996112688831539,0.0038022813688212928,0.007575645591608081
4,relu,softmax,0.25,0.9961666792644344,0.0038022813688212928,0.007575647152905775
4,relu,softmax,0.3,0.9961954741619785,0.0038022813688212928,0.007575647985528944
4,relu,softmax,0.35000000000000003,0.9962080719296541,0.0038022813688212928,0.007575648349786503
4,relu,softmax,0.4,0.9962206696973296,0.0038022813688212928,0.007575648714034882
4,relu,softmax,0.45,0.9962206696973296,0.0038022813688212928,0.007575648714034882
4,relu,softmax,0.5,0.9962224693784262,0.0038022813688212928,0.007575648766069617
4,relu,softmax,0.55,0.9962242690595227,0.0038022813688212928,0.007575648818104164
4,tanh,softmax,0.05,0.9500696476584349,0.723384030418251,0.821373450493217
4,tanh,softmax,0.1,0.9515957772282752,0.7229087452471483,0.8216363707177431
4,tanh,softmax,0.15000000000000002,0.9539173658427726,0.7214828897338403,0.8215768803719928
4,tanh,softmax,0.2,0.9961828763943029,0.004752851711026616,0.009460566459203942
4,tanh,softmax,0.25,0.9961882754375925,0.004752851711026616,0.009460566702671225
4,tanh,softmax,0.3,0.996193674480882,0.0042775665399239545,0.008518555165854483
4,tanh,softmax,0.35000000000000003,0.9961990735241715,0.0042775665399239545,0.00851855536324614
4,tanh,softmax,0.4,0.9962098716107506,0.0042775665399239545,0.008518555758023062
4,tanh,softmax,0.45,0.9962098716107506,0.0042775665399239545,0.008518555758023062
4,tanh,softmax,0.5,0.9962116712918471,0.0042775665399239545,0.008518555823818387
4,tanh,softmax,0.55,0.9962116712918471,0.0042775665399239545,0.008518555823818387
5,relu,softmax,0.05,0.9293067268480025,0.7252851711026616,0.8147173804291229
5,relu,softmax,0.1,0.9549287866190111,0.7081749049429658,0.8132464693840993
5,relu,softmax,0.15000000000000002,0.9653327430379337,0.6991444866920152,0.8109537974607808
5,relu,softmax,0.2,0.9708397671932534,0.69106463878327,0.8074026768556711
5,relu,softmax,0.25,0.9961648795833379,0.0019011406844106464,0.00379503868982306
5,relu,softmax,0.3,0.9961828763943029,0.0014258555133079848,0.0028476351522179117
5,relu,softmax,0.35000000000000003,0.9962008732052681,0.0009505703422053232,0.0018993283539340123
5,relu,softmax,0.4,0.9962026728863645,0.0,0.0
5,relu,softmax,0.45,0.9962080719296541,0.0,0.0
5,relu,softmax,0.5,0.9962098716107506,0.0,0.0
5,relu,softmax,0.55,0.9962134709729435,0.0,0.0
5,tanh,softmax,0.05,0.9223725555831507,0.7395437262357415,0.8209015630883418
5,tanh,softmax,0.1,0.9903969016690243,0.4344106463878327,0.6039257144886755
5,tanh,softmax,0.15000000000000002,0.9904598905074021,0.43298479087452474,0.6025581101537526
5,tanh,softmax,0.2,0.9904994834915253,0.43250950570342206,0.6021050397535122
5,tanh,softmax,0.25,0.9905372767945521,0.4320342205323194,0.6016513069357656
5,tanh,softmax,0.3,0.9905948665896404,0.4310836501901141,0.6007395426025227
5,tanh,softmax,0.35000000000000003,0.9962134709729435,0.0,0.0
5,tanh,softmax,0.4,0.9962134709729435,0.0,0.0
5,tanh,softmax,0.45,0.9962134709729435,0.0,0.0
5,tanh,softmax,0.5,0.9962134709729435,0.0,0.0
5,tanh,softmax,0.55,0.9962134709729435,0.0,0.0
6,relu,softmax,0.05,0.9786323863411404,0.657319391634981,0.7864217680301788
6,relu,softmax,0.1,0.9889643555162025,0.5019011406844106,0.6658713873179795
6,relu,softmax,0.15000000000000002,0.9919536258175051,0.47433460076045625,0.6417809521298999
6,relu,softmax,0.2,0.9935391448635302,0.44914448669201523,0.6186285329195863
6,relu,softmax,0.25,0.9946279519269186,0.4282319391634981,0.5986976782000201
6,relu,softmax,0.3,0.9952956336137236,0.4144486692015209,0.5852110201680351
6,relu,softmax,0.35000000000000003,0.9957419545256581,0.3987642585551331,0.5694722597634765
6,relu,softmax,0.4,0.9961090894693461,0.38593155893536124,0.5563221808451673
6,relu,softmax,0.45,0.9964060368502702,0.373574144486692,0.5434115585737228
6,relu,softmax,0.5,0.9966112004952722,0.3612167300380228,0.5302478036679968
6,relu,softmax,0.55,0.996747976258607,0.3450570342205323,0.5126451278197244
6,tanh,softmax,0.05,0.9697257645945139,0.6649239543726235,0.7889077183564644
6,tanh,softmax,0.1,0.9715416428208922,0.6615969581749049,0.787157924304315
6,tanh,softmax,0.15000000000000002,0.9911383702807862,0.43155893536121676,0.6013009488072504
6,tanh,softmax,0.2,0.9912427517843838,0.4306083650190114,0.6003967864686633
