max_depth,n_estimators,cut_off,accuracy,recall,Performance
3,200,0.05,0.9906740525578868,0.5503802281368821,0.707629079503001
3,200,0.1,0.9928966587120762,0.4852661596958175,0.6519162064527884
3,200,0.15000000000000002,0.993866686823095,0.4824144486692015,0.649545182482556
3,200,0.2,0.9951030677363971,0.47480988593155893,0.6428744952591178
3,200,0.25,0.9955997797190338,0.46482889733840305,0.6337639832293634
3,200,0.3,0.9957167589903069,0.4619771863117871,0.6311316969715522
3,200,0.35000000000000003,0.9966687902903606,0.3403041825095057,0.5073708516369092
3,200,0.4,0.9967839698805372,0.33365019011406843,0.4999528290143205
3,200,0.45,0.9967857695616337,0.3303231939163498,0.4962086280979713
3,200,0.5,0.9968001670104057,0.3279467680608365,0.4935242868193309
3,200,0.55,0.9967947679671162,0.3179657794676806,0.4821358930861718
3,400,0.05,0.989601442624367,0.654467680608365,0.7878770444974524
3,400,0.1,0.9928552660468565,0.4843155893536122,0.6510489718373956
3,400,0.15000000000000002,0.9939674689644995,0.4824144486692015,0.6495667046697039
3,400,0.2,0.9949356973944217,0.4762357414448669,0.6441451037309852
3,400,0.25,0.9955529880105245,0.4667300380228137,0.6355192198439489
3,400,0.3,0.9956915634549558,0.46245247148288976,0.6315700141022548
3,400,0.35000000000000003,0.9965878046410176,0.41159695817490494,0.5825833651603991
3,400,0.4,0.9967857695616337,0.33365019011406843,0.4999530553854001
3,400,0.45,0.9967875692427302,0.3303231939163498,0.4962088510903062
3,400,0.5,0.9968019666915022,0.3279467680608365,0.4935245073991744
3,400,0.55,0.9967929682860197,0.3203422053231939,0.48486269915093
3,600,0.05,0.9893404888653731,0.6596958174904943,0.791569937014644
3,600,0.1,0.9930730274595342,0.48574144486692017,0.6523830219996308
3,600,0.15000000000000002,0.9939890651376576,0.4824144486692015,0.6495713161846721
3,600,0.2,0.9951786543424506,0.4738593155893536,0.6420183626128316
3,600,0.25,0.9956087781245163,0.46482889733840305,0.6337658063626199
3,600,0.3,0.9964852228185166,0.41539923954372626,0.5863641322078227
3,600,0.35000000000000003,0.9966058014519827,0.3355513307984791,0.5020614983966081
3,600,0.4,0.9966993848690012,0.33317490494296575,0.49940844086457903
3,600,0.45,0.9967839698805372,0.32984790874524716,0.4956719542673144
3,600,0.5,0.9967875692427302,0.32604562737642584,0.4913669073400727
3,600,0.55,0.9968217631835639,0.31131178707224333,0.4744505856126018
3,800,0.05,0.9894070770659439,0.6577946768060836,0.7902209998967834
3,800,0.1,0.9930586300107621,0.48574144486692017,0.6523799152754177
3,800,0.15000000000000002,0.9939782670510785,0.4828897338403042,0.6499997298738179
3,800,0.2,0.9951228642284587,0.47433460076045625,0.6424428304428239
3,800,0.25,0.9956087781245163,0.4653041825095057,0.6342074320477864
3,800,0.3,0.995921922635309,0.4591254752851711,0.6285061596348727
3,800,0.35000000000000003,0.9966471941172025,0.3369771863117871,0.5036611090015012
3,800,0.4,0.9967821701994407,0.33365019011406843,0.49995260264262853
3,800,0.45,0.9967911686049232,0.33174904942965777,0.4978163523777547
3,800,0.5,0.9967947679671162,0.3279467680608365,0.49352362507620434
3,800,0.55,0.9967947679671162,0.3217680608365019,0.4864944051725869
3,1000,0.05,0.9894430706878741,0.6525665399239544,0.7864478221292908
