accuracy,recall,learning_rate,estimators,cut_off,max_depth,Performance
0.9967605090628615,0.5238095238095238,0.01,200,0.05,9,0.6867327861487253
0.9967990744311608,0.5102040816326531,0.01,200,0.1,9,0.6749434522363982
0.9967990744311608,0.4965986394557823,0.01,200,0.15000000000000002,9,0.6629299878662757
0.9967990744311608,0.4965986394557823,0.01,200,0.2,9,0.6629299878662757
0.9968762051677593,0.4897959183673469,0.01,200,0.25,9,0.6568575393041848
0.9968762051677593,0.4897959183673469,0.01,200,0.3,9,0.6568575393041848
0.99683763979946,0.47619047619047616,0.01,200,0.35000000000000003,9,0.6445017379205792
0.99683763979946,0.46938775510204084,0.01,200,0.4,9,0.6382420923464069
0.99683763979946,0.46258503401360546,0.01,200,0.45,9,0.6319240913365988
0.99683763979946,0.46258503401360546,0.01,200,0.5,9,0.6319240913365988
0.99683763979946,0.46258503401360546,0.01,200,0.55,9,0.6319240913365988
0.9969533359043579,0.564625850340136,0.01,400,0.05,9,0.7209440673811596
0.9970690320092557,0.5238095238095238,0.01,400,0.1,9,0.6868059949478605
0.9970304666409564,0.5170068027210885,0.01,400,0.15000000000000002,9,0.6809231769978225
0.9970690320092557,0.5102040816326531,0.01,400,0.2,9,0.6750053261037566
0.9969919012726571,0.4965986394557823,0.01,400,0.25,9,0.6629726263249732
0.9969919012726571,0.4897959183673469,0.01,400,0.3,9,0.6568826532448806
0.9969533359043579,0.47619047619047616,0.01,400,0.35000000000000003,9,0.6445259177905956
0.9968762051677593,0.46258503401360546,0.01,400,0.4,9,0.6319318401817136
0.9967990744311608,0.4489795918367347,0.01,400,0.45,9,0.6191022900297938
0.9967605090628615,0.4421768707482993,0.01,400,0.5,9,0.6125971136294188
0.996683378326263,0.42857142857142855,0.01,400,0.55,9,0.599401618876064
0.9966448129579637,0.6326530612244898,0.01,600,0.05,9,0.7739903204473906
0.9967605090628615,0.5714285714285714,0.01,600,0.1,9,0.7264142326150042
0.9968762051677593,0.5578231292517006,0.01,600,0.15000000000000002,9,0.7153545279555752
0.99683763979946,0.5306122448979592,0.01,600,0.2,9,0.6925716688342337
0.9969147705360586,0.5238095238095238,0.01,600,0.25,9,0.686769394261424
0.9969533359043579,0.5102040816326531,0.01,600,0.3,9,0.6749788114461535
0.9968762051677593,0.4897959183673469,0.01,600,0.35000000000000003,9,0.6568575393041848
0.9969533359043579,0.48299319727891155,0.01,600,0.4,9,0.650728480319624
0.9969147705360586,0.47619047619047616,0.01,600,0.45,9,0.6445178582559372
0.9968762051677593,0.46938775510204084,0.01,600,0.5,9,0.6382499969135654
0.9967990744311608,0.4557823129251701,0.01,600,0.55,9,0.6255393214045827
0.9967219436945622,0.5782312925170068,0.01,800,0.05,9,0.7318767370755745
0.9967219436945622,0.54421768707483,0.01,800,0.1,9,0.7040298010679965
0.9968762051677593,0.5306122448979592,0.01,800,0.15000000000000002,9,0.6925809764213479
0.99683763979946,0.5102040816326531,0.01,800,0.2,9,0.6749522927174716
0.9967990744311608,0.5034013605442177,0.01,800,0.25,9,0.6689639578275401
0.99683763979946,0.4965986394557823,0.01,800,0.3,9,0.6629385164388658
0.99683763979946,0.4897959183673469,0.01,800,0.35000000000000003,9,0.6568491671219648
0.9967990744311608,0.47619047619047616,0.01,800,0.4,9,0.6444936771198136
0.996683378326263,0.4557823129251701,0.01,800,0.45,9,0.6255165380687517
0.996683378326263,0.4557823129251701,0.01,800,0.5,9,0.6255165380687517
0.9967219436945622,0.4557823129251701,0.01,800,0.55,9,0.6255241329173082
0.9967990744311608,0.5578231292517006,0.01,1000,0.05,9,0.7153346679561758
0.9967990744311608,0.5306122448979592,0.01,1000,0.1,9,0.6925623607771078
0.9967990744311608,0.4965986394557823,0.01,1000,0.15000000000000002,9,0.6629299878662757
0.9968762051677593,0.4965986394557823,0.01,1000,0.2,9,0.6629470445709965
0.9967990744311608,0.47619047619047616,0.01,1000,0.25,9,0.6444936771198136
