Kernels,cut_off,accuracy,recall,Performance
rbf,0.05,0.9944851523332048,0.027210884353741496,0.052972350875318944
rbf,0.1,0.9944851523332048,0.027210884353741496,0.052972350875318944
rbf,0.15000000000000002,0.9944851523332048,0.027210884353741496,0.052972350875318944
rbf,0.2,0.9944851523332048,0.027210884353741496,0.052972350875318944
rbf,0.25,0.9944851523332048,0.027210884353741496,0.052972350875318944
rbf,0.3,0.9944851523332048,0.027210884353741496,0.052972350875318944
rbf,0.35000000000000003,0.9944851523332048,0.027210884353741496,0.052972350875318944
rbf,0.4,0.9944851523332048,0.027210884353741496,0.052972350875318944
rbf,0.45,0.9944851523332048,0.027210884353741496,0.052972350875318944
rbf,0.5,0.9944851523332048,0.027210884353741496,0.052972350875318944
rbf,0.55,0.9944851523332048,0.027210884353741496,0.052972350875318944
poly,0.05,0.9944851523332048,0.027210884353741496,0.052972350875318944
poly,0.1,0.9944851523332048,0.027210884353741496,0.052972350875318944
poly,0.15000000000000002,0.9944851523332048,0.027210884353741496,0.052972350875318944
poly,0.2,0.9944851523332048,0.027210884353741496,0.052972350875318944
poly,0.25,0.9944851523332048,0.027210884353741496,0.052972350875318944
poly,0.3,0.9944851523332048,0.027210884353741496,0.052972350875318944
poly,0.35000000000000003,0.9944851523332048,0.027210884353741496,0.052972350875318944
poly,0.4,0.9944851523332048,0.027210884353741496,0.052972350875318944
poly,0.45,0.9944851523332048,0.027210884353741496,0.052972350875318944
poly,0.5,0.9944851523332048,0.027210884353741496,0.052972350875318944
poly,0.55,0.9944851523332048,0.027210884353741496,0.052972350875318944
