accuracy,recall,Performance,cut_off,Model,BestModel,IsBestModel
0.9937138449672196,0.35374149659863946,0.5217506092647176,0.05,LogisticRegression,LogisticRegression,1
0.9939838025453144,0.19047619047619047,0.319690406124898,0.1,LogisticRegression,LogisticRegression,1
0.993790975703818,0.08843537414965986,0.1624175511431995,0.15000000000000002,LogisticRegression,LogisticRegression,1
0.9936752795989202,0.047619047619047616,0.09088279695811052,0.2,LogisticRegression,LogisticRegression,1
0.9937138449672196,0.034013605442176874,0.06577578643380468,0.25,LogisticRegression,LogisticRegression,1
0.9937524103355188,0.034013605442176874,0.06577587091510859,0.3,LogisticRegression,LogisticRegression,1
0.9937524103355188,0.027210884353741496,0.052971310632909316,0.35000000000000003,LogisticRegression,LogisticRegression,1
0.9938681064404165,0.027210884353741496,0.05297147498096765,0.4,LogisticRegression,LogisticRegression,1
0.9938681064404165,0.027210884353741496,0.05297147498096765,0.45,LogisticRegression,LogisticRegression,1
0.9938681064404165,0.027210884353741496,0.05297147498096765,0.5,LogisticRegression,LogisticRegression,1
0.9938681064404165,0.027210884353741496,0.05297147498096765,0.55,LogisticRegression,LogisticRegression,1
0.9966448129579636,0.6326530612244898,0.7739903204473906,0.05,AdaBoostDecisionTrees_9_600_0.01,AdaBoostDecisionTrees_9_600_0.01,1
0.9967605090628616,0.5714285714285714,0.7264142326150042,0.1,AdaBoostDecisionTrees_9_600_0.01,AdaBoostDecisionTrees_9_600_0.01,1
0.9968762051677592,0.5578231292517006,0.7153545279555752,0.15000000000000002,AdaBoostDecisionTrees_9_600_0.01,AdaBoostDecisionTrees_9_600_0.01,1
0.99683763979946,0.5306122448979592,0.6925716688342337,0.2,AdaBoostDecisionTrees_9_600_0.01,AdaBoostDecisionTrees_9_600_0.01,1
0.9969147705360586,0.5238095238095238,0.6867693942614239,0.25,AdaBoostDecisionTrees_9_600_0.01,AdaBoostDecisionTrees_9_600_0.01,1
0.996953335904358,0.5102040816326531,0.6749788114461535,0.3,AdaBoostDecisionTrees_9_600_0.01,AdaBoostDecisionTrees_9_600_0.01,1
0.9968762051677592,0.4897959183673469,0.6568575393041848,0.35000000000000003,AdaBoostDecisionTrees_9_600_0.01,AdaBoostDecisionTrees_9_600_0.01,1
0.996953335904358,0.4829931972789116,0.650728480319624,0.4,AdaBoostDecisionTrees_9_600_0.01,AdaBoostDecisionTrees_9_600_0.01,1
0.9969147705360586,0.4761904761904762,0.6445178582559372,0.45,AdaBoostDecisionTrees_9_600_0.01,AdaBoostDecisionTrees_9_600_0.01,1
0.9968762051677592,0.4693877551020408,0.6382499969135654,0.5,AdaBoostDecisionTrees_9_600_0.01,AdaBoostDecisionTrees_9_600_0.01,1
0.9967990744311608,0.4557823129251701,0.6255393214045827,0.55,AdaBoostDecisionTrees_9_600_0.01,AdaBoostDecisionTrees_9_600_0.01,1
0.9587837035277348,0.7385931558935361,0.8344064283394201,0.05,NeuralNetworks_9_relu_softmax,NeuralNetworks_9_relu_softmax,1
0.982402718238328,0.6349809885931559,0.7713779316420083,0.1,NeuralNetworks_9_relu_softmax,NeuralNetworks_9_relu_softmax,1
0.9877387726894794,0.5004752851711026,0.6643383609034992,0.15000000000000002,NeuralNetworks_9_relu_softmax,NeuralNetworks_9_relu_softmax,1
0.9910033941985479,0.4538973384030418,0.6226224304907054,0.2,NeuralNetworks_9_relu_softmax,NeuralNetworks_9_relu_softmax,1
0.9932853898289224,0.4291825095057034,0.5993818439931536,0.25,NeuralNetworks_9_relu_softmax,NeuralNetworks_9_relu_softmax,1
0.9947611283280604,0.4120722433460076,0.5827462697387839,0.3,NeuralNetworks_9_relu_softmax,NeuralNetworks_9_relu_softmax,1
0.995664568238508,0.3902091254752852,0.560682264482482,0.35000000000000003,NeuralNetworks_9_relu_softmax,NeuralNetworks_9_relu_softmax,1
0.9963178524765413,0.3754752851711027,0.5454069123296323,0.4,NeuralNetworks_9_relu_softmax,NeuralNetworks_9_relu_softmax,1
0.9967209810421592,0.3564638783269962,0.5251241529229236,0.45,NeuralNetworks_9_relu_softmax,NeuralNetworks_9_relu_softmax,1
0.9969027488329067,0.3341254752851711,0.5005011895785908,0.5,NeuralNetworks_9_relu_softmax,NeuralNetworks_9_relu_softmax,1
0.9969747360767672,0.29990494296577946,0.4611031481072605,0.55,NeuralNetworks_9_relu_softmax,NeuralNetworks_9_relu_softmax,1
0.9944851523332048,0.027210884353741496,0.052972350875318944,0.05,SupportVectorMachine_rbf,SupportVectorMachine_rbf,1
0.9944851523332048,0.027210884353741496,0.052972350875318944,0.1,SupportVectorMachine_rbf,SupportVectorMachine_rbf,1
0.9944851523332048,0.027210884353741496,0.052972350875318944,0.15000000000000002,SupportVectorMachine_rbf,SupportVectorMachine_rbf,1
0.9944851523332048,0.027210884353741496,0.052972350875318944,0.2,SupportVectorMachine_rbf,SupportVectorMachine_rbf,1
0.9944851523332048,0.027210884353741496,0.052972350875318944,0.25,SupportVectorMachine_rbf,SupportVectorMachine_rbf,1
0.9944851523332048,0.027210884353741496,0.052972350875318944,0.3,SupportVectorMachine_rbf,SupportVectorMachine_rbf,1
0.9944851523332048,0.027210884353741496,0.052972350875318944,0.35000000000000003,SupportVectorMachine_rbf,SupportVectorMachine_rbf,1
0.9944851523332048,0.027210884353741496,0.052972350875318944,0.4,SupportVectorMachine_rbf,SupportVectorMachine_rbf,1
0.9944851523332048,0.027210884353741496,0.052972350875318944,0.45,SupportVectorMachine_rbf,SupportVectorMachine_rbf,1
